Question,Ground Truth,normalized_question,kimi_baseline,kimi_embedded_1,kimi_embedded_2,kimi_embedded_3
The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,Dessau,Dessau,Dessau,Dessau
Which faith is designated to the University of Providence  private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ,,Which faith is designated to the University of Providence private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula?,Roman Catholic,Roman Catholic,Roman Catholic,Roman Catholic
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Joshua Tree,Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,The Chimes,The Chimes,The Chimes,The Chimes
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,Ulster County,Ulster County,Ulster County,Ulster County
"What American country music singer-songwriter  born in May of 1942  sang a duet with her ex-husband the same year that he released the song ""The Battle?""",,"What American country music singer-songwriter born in May of 1942 sang a duet with her ex-husband the same year that he released the song ""The Battle?""",Tammy Wynette,Tammy Wynette,Tammy Wynette,Tammy Wynette
Who was born first  Francis Nethersole or Elizabeth Stuart?,,Who was born first Francis Nethersole or Elizabeth Stuart?,Francis Nethersole,Francis Nethersole,Francis Nethersole,Francis Nethersole
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,ingredients in beer,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,Ingredients in beer,Ingredients in beer,Ingredients in beer,Ingredients in beer
Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI)  which other member that's Welsh  that died on 10 April 2016?,,Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI) which other member that's Welsh that died on 10 April 2016?,Howard Marks,Howard Marks,Howard Marks,Howard Marks
What male actor starred in The Messenger?,Robert Sheehan,What male actor starred in The Messenger?,Robert Sheehan,Robert Sheehan,Robert Sheehan,Robert Sheehan
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",March 28  1941,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",1941,1941,1941,1941
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,standard gauge track,standard gauge track,standard gauge track
In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,Sex and the City,Sex and the City,Sex and the City
"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,Kato,Kato,Kato
The 1895/96 Football League season was the eighth in Football League history with Everton  their Goodison Park home  is a football stadium located in Walton  Liverpool  in which country?,,The 1895/96 Football League season was the eighth in Football League history with Everton their Goodison Park home is a football stadium located in Walton Liverpool in which country?,England,England,England,England
A Head Full of Dreams Tour is the seventh tour by Coldplay  and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?,,A Head Full of Dreams Tour is the seventh tour by Coldplay and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?,Province of Buenos Aires,Province of Buenos Aires,Province of Buenos Aires,Province of Buenos Aires
Roger Avary (born August 23  1965) is a Canadian film and television producer  screenwriter and director in the American mass media industry  he wrote the screenplay for Beowulf  a 2007 British-American 3D motion capture epic fantasy film  directed by who?,,Roger Avary (born August 23 1965) is a Canadian film and television producer screenwriter and director in the American mass media industry he wrote the screenplay for Beowulf a 2007 British-American 3D motion capture epic fantasy film directed by who?,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis
The American Pre-Code comedy film featuring an American actress  dancer  and singer  widely known for performing in films and RKO's musical films  was released in what year?,,The American Pre-Code comedy film featuring an American actress dancer and singer widely known for performing in films and RKO's musical films was released in what year?,1932,1932,1932,1932
"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,nine,nine weeks,nine weeks
Funnybot is the second episode of the fifteenth season of which American animated television series  created by Trey Parker and Matt Stone?  ,,Funnybot is the second episode of the fifteenth season of which American animated television series created by Trey Parker and Matt Stone?,South Park,South Park,South Park,South Park
"What American stage  film  and television actor  who also appeared in a large number of musicals  played Samson in the 1949 film ""Samson and Delilah"".",,"What American stage film and television actor who also appeared in a large number of musicals played Samson in the 1949 film ""Samson and Delilah"".",Victor Mature,Victor Mature,Victor Mature,Victor Mature
Iqaluit Airport and Canadian North are based out of what country?,Canada,Iqaluit Airport and Canadian North are based out of what country?,Canada,Canada,Canada,Canada
